사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-11,2호선,237,당산,19,0,6925,3235,17562,13041,46287,28819,57970,79788,38190,36436,25776,18762,23523,16916,24880,20100,23495,22363,21450,22685,23317,26584,28144,34014,42977,50427,58858,75456,25658,52127,20237,33685,19817,32677,17536,29620,8190,19145,1257,5276,17,409,0,0,0,0
2023-11,2호선,238,합정,92,10,9896,2910,19117,14041,45287,32658,56082,99889,38923,89388,29055,53642,31485,49274,35948,52875,40577,56706,43489,55169,47626,55980,57289,65721,79776,86975,118223,122801,80111,85828,65656,45320,73469,35979,68581,31841,35429,22481,6234,7977,19,519,0,0,0,0
2023-11,2호선,239,홍대입구,1035,21,26312,3898,31083,17496,65562,42197,84562,115003,64666,144827,57919,111401,63480,121454,74244,141197,85295,156798,95847,148569,118561,152974,149054,166082,177477,202164,205471,247749,163316,180778,163792,104278,191832,82292,187126,67494,94390,47413,12926,16979,42,1430,0,0,0,0
2023-11,2호선,240,신촌,90,7,7956,3182,14993,15350,39247,36538,58216,92462,42352,100705,40413,79268,47118,67488,59829,71030,64326,75356,66392,67742,77361,65704,95222,70456,110756,94894,104083,127068,72631,85850,77986,49408,83257,42732,80853,37744,39287,25130,7195,7650,20,350,0,0,0,0
2023-11,2호선,241,이대,46,4,3812,877,9526,6712,29958,15225,40467,46047,25637,57532,20153,42234,21899,30128,32737,33929,29606,34448,29158,27559,38730,29448,40755,30446,53884,38535,44551,50758,27783,36653,23653,24363,24696,23845,18540,24004,7338,17022,1098,4870,1,197,0,0,0,0
2023-11,2호선,242,아현,19,0,5191,737,11275,4511,31457,12425,45052,22195,26130,13276,18201,12894,17011,10701,18108,12796,17997,14119,16050,15065,17542,16775,21865,19827,22340,25788,20704,35916,12866,25975,9596,17285,7776,16925,5593,15925,2244,9483,423,2767,6,107,0,0,0,0
2023-11,2호선,243,충정로(경기대입구),23,1,3275,1028,6464,6608,17345,24001,23905,65061,15886,30923,11788,14499,12103,11805,13413,12101,14096,14148,14556,12991,15417,12977,19024,14468,33431,18548,50668,23901,16613,16480,11120,10710,10517,10748,7135,9846,3077,6053,586,2076,4,103,0,0,0,0
2023-11,2호선,244,용답,4,0,2398,421,3431,1089,8591,1743,14678,4176,8058,5341,5252,3736,4465,2984,5089,3361,5100,4199,4492,3876,4814,4652,6002,6292,5919,7528,4334,11726,2651,7886,1903,5462,1413,6105,1194,6019,509,3549,107,1098,0,2,0,0,0,0
2023-11,2호선,245,신답,17,0,1188,201,1816,601,6440,915,12189,1925,5053,1064,2625,1062,2140,1261,2137,1450,1996,1532,1803,1890,1639,2785,2087,3780,2187,5084,2130,10338,1046,7164,612,3558,498,3609,467,2920,150,1869,24,582,0,1,0,0,0,0
2023-11,2호선,246,신설동,53,2,1277,282,1365,1784,4857,4980,9112,13781,5757,9142,4879,7625,5641,6817,6929,7141,7116,7507,8137,6545,8782,5827,9939,5308,12063,5944,13039,7875,4996,5841,3077,4002,2739,3426,1859,3319,657,2270,97,723,4,125,0,0,0,0
2023-11,2호선,247,도림천,3,0,414,331,1262,844,3251,3713,3772,6028,2229,2167,1942,1390,1587,1498,2202,1689,1582,1477,2178,1950,2408,1676,3058,2158,3026,2331,3502,3136,1462,2572,858,1655,673,1485,371,1256,184,1032,20,254,3,8,0,0,0,0
2023-11,2호선,248,양천구청,27,0,4913,1033,12089,2434,35162,4870,31865,10391,19182,5521,12507,4452,11036,5288,11691,7016,10122,8270,7907,9181,7628,11847,8887,14681,9272,21444,9230,31613,4007,26277,2874,14816,2512,13289,2220,11433,764,8710,154,2554,0,55,0,0,0,0
2023-11,2호선,249,신정네거리,68,2,9233,1036,18668,2926,53118,4570,48655,11568,26005,8248,17446,7274,15598,8565,16357,10513,14485,11988,12477,13587,11766,17559,12966,23231,12977,32041,12043,50498,7153,37745,5253,21749,4337,18849,3505,17138,1523,10835,286,3052,1,242,0,0,0,0
2023-11,2호선,250,용두(동대문구청),41,1,1226,104,1890,1035,5888,2728,10201,5706,5370,3447,4208,3586,3908,3382,4301,3462,4364,4422,4415,4424,4704,4782,5050,4553,5198,5552,5598,8728,2669,5812,1735,3464,1456,3352,841,2387,364,1634,59,504,0,8,0,0,0,0
2023-11,3호선,309,지축,7,0,3283,845,11288,5948,31698,5492,31433,10391,17724,6428,10842,5579,9363,5233,9526,6740,9548,8244,8242,8280,10100,10154,11304,13374,12006,18883,9461,28624,6067,22739,4866,14822,4262,13034,3452,11256,1518,6297,210,1164,0,0,0,0,0,0
2023-11,3호선,310,구파발,119,1,12129,1585,35418,9960,90235,22196,89418,30772,50053,27238,33022,27105,30966,24604,31867,26174,29886,29170,30476,30141,33624,31818,38588,37577,38683,49893,29916,80450,18748,66811,15843,37015,13734,33381,11585,29576,3295,19588,579,8194,1,405,0,0,0,0
2023-11,3호선,311,연신내,209,7,26921,1822,49702,12858,125600,23004,149499,36066,87567,35310,56860,33293,52990,34924,59340,37841,53881,42275,49131,45161,50948,56477,59597,65332,52532,86818,45809,133727,30973,110618,25271,65827,22949,57616,18344,52588,8982,32776,1367,11341,1,13,0,2,0,0
2023-11,3호선,312,불광,46,2,9654,1469,19881,5680,53612,10730,67250,32559,39676,27921,27325,23767,24301,23340,26060,25539,26070,29040,25716,28049,28366,31309,30029,35662,29706,42674,30117,63497,15801,48997,13015,29516,10989,26113,7902,23047,3273,13272,525,4692,0,0,0,0,0,0
2023-11,3호선,313,녹번,62,1,9774,595,26550,3669,76593,8081,83728,17952,48662,11838,29814,10050,24106,10383,23641,12772,21023,14800,18508,16646,17730,21567,18701,28572,19182,38578,20712,67544,10038,54492,7431,31749,6379,29123,4418,25659,1589,15108,215,4321,0,0,0,0,0,0
2023-11,3호선,314,홍제,113,4,10678,1528,24983,6843,70046,11363,77128,27500,49101,23414,33060,20712,29750,19189,33045,20756,29868,24086,27099,25386,27734,31027,30329,36731,31583,46943,29801,66588,15162,55706,12214,33454,9963,28799,7532,26652,2817,15709,435,4045,0,0,1,1,0,0
2023-11,3호선,315,무악재,30,3,2271,155,5771,1313,18239,3377,21390,5968,13309,3751,9243,3531,7423,3950,7333,4456,6477,5024,6070,5791,5592,7547,5918,9255,6774,11840,7143,17098,3316,15683,2491,9186,2002,8146,1425,7565,581,4816,99,1298,0,1,0,0,0,0
2023-11,3호선,316,독립문,250,2,5191,916,6298,6296,15984,15203,20153,22392,16321,18767,13804,16598,14013,11954,16547,12820,14520,13664,15183,12712,18755,12985,18567,13880,18258,15919,17045,17312,7780,14427,5876,9182,4684,8648,3347,7328,1074,4410,152,2034,2,665,0,0,0,0
2023-11,3호선,317,경복궁(정부서울청사),63,1,2287,1498,6264,14779,14223,42725,21122,140285,20655,106363,21355,73512,28431,62502,37408,56244,44973,59108,55155,48306,69596,42895,87554,37302,103974,37279,122787,36995,50620,23723,42154,12903,40628,11058,26759,10273,9786,5764,1091,1532,0,83,0,0,0,0
2023-11,3호선,318,안국,14,0,1750,1852,2674,23818,6667,98490,10803,130640,14168,94206,17595,69300,25506,71403,35760,59204,42023,55463,52811,48992,69596,40979,95774,36181,134455,33709,128371,29377,56667,14380,45672,7632,39538,6528,21746,5912,6894,3119,716,1095,0,2,0,0,0,0
2023-11,3호선,319,종로3가,13,1,772,880,1368,6447,1894,16506,3455,47451,5278,44355,7704,36400,10341,29020,12220,25056,14021,24011,16991,22534,21111,20797,26817,20517,40419,20406,57770,20768,29077,11819,19130,6531,20675,5239,17343,4119,7872,2614,843,908,0,33,0,0,0,0
2023-11,3호선,320,을지로3가,18,1,818,1270,1504,9421,4114,36588,7231,85744,9592,36580,11399,17729,11812,14936,11944,13628,13785,14621,16080,13054,17955,13693,22091,15103,47094,19355,72500,23154,28839,12964,20331,7031,20152,5388,16498,4143,8508,2689,1402,841,0,22,0,0,0,0
